Brand,Model,Battery,€/km of range*,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Price in Germany before incentives,Price in The Netherlands before incentives,Price in the United Kingdom after incentives,Approx. in USD based on source,Drive_Configuration
VOLKSWAGEN,ID. Buzz Pro,77,192,10.2,145,345,223,480,"64,581","66,160","58,915","73,408",Rear Wheel Drive
PEUGEOT,e-3008 73 kWh,73,129,8.7,170,385,190,440,"48,650","48,190","45,850","57,129",Front Wheel Drive
VOLVO,EX30 Single Motor,49,134,5.7,180,280,175,430,"36,590","36,795","33,795","42,108",Rear Wheel Drive
JEEP,Avenger Electric,50.8,127,9.0,150,310,164,500,"38,500","39,500","34,800","43,360",Front Wheel Drive
FORD,Explorer Extended Range RWD,77,115,6.4,180,430,179,640,"49,500","45,950","45,875","57,160",Rear Wheel Drive
CITROEN,e-C4,46.3,127,9.7,150,290,160,460,"36,040","37,830","31,995","39,865",Front Wheel Drive
AUDI,Q4 e-tron 45,77,132,6.7,180,420,183,630,"52,950","54,865","50,745","63,228",Rear Wheel Drive
HYUNDAI,IONIQ 5 Long Range AWD,74,154,5.1,185,385,192,1010,"59,200","60,995","50,445","62,854",All Wheel Drive
POLESTAR,2 Long Range Single Motor,79,112,6.2,205,470,168,700,"49,975","51,200","48,950","60,991",Rear Wheel Drive
FISKER,Ocean Extreme,106.5,124,3.9,205,520,205,620,"63,590","63,590","57,900","72,143",All Wheel Drive
KIA,EV9 99.8 kWh AWD GT-Line,96,193,5.3,200,425,226,810,"82,380","78,895","73,245","91,263",All Wheel Drive
VOLKSWAGEN,ID.7 Pro S,86,120,7.0,180,520,165,800,"60,000","60,000","59,000","73,514",Rear Wheel Drive
NIO,ET5 100 kWh,90,140,4.0,200,500,180,520,"68,500","71,700",N/A,"40,055",All Wheel Drive
PEUGEOT,e-3008 98 kWh Long Range,98,111,8.9,170,510,192,660,"55,000","55,000","52,000","64,792",Front Wheel Drive
VOLVO,EX30 Twin Motor Performance,64,135,3.6,180,360,178,600,"48,490","49,995","40,995","51,079",All Wheel Drive
CUPRA,Born 170 kW - 77 kWh,77,105,7.0,160,450,171,630,"46,450","46,989","41,975","52,300",Rear Wheel Drive
KIA,EV6 Long Range AWD,74,146,5.2,185,400,185,1050,"55,980","59,995","51,745","64,474",All Wheel Drive
MAZDA,MX-30,30,212,9.7,140,170,176,170,"35,990","36,440","31,250","38,937",Front Wheel Drive
PORSCHE,Macan Turbo Electric,95,239,3.3,260,480,198,960,"114,600","121,000","95,000","118,370",All Wheel Drive
NIO,ET7 75 kWh,70.5,208,3.8,200,400,176,600,"81,900","84,900",N/A,"47,430",All Wheel Drive
SMART,#1 Pro+,62,126,6.7,180,335,185,520,"42,490","42,935","35,950","44,793",Rear Wheel Drive
TESLA,Model X Dual Motor,95,226,3.9,250,475,200,660,"100,970","100,993","105,000","130,830",All Wheel Drive
FISKER,Ocean Ultra,106.5,110,4.2,200,535,199,640,"58,900","58,990","50,900","63,421",All Wheel Drive
SMART,#1 Brabus,62,152,3.9,180,325,191,500,"48,990","48,895","43,450","54,138",All Wheel Drive
MG,MG5 Electric Long Range,57.4,112,7.7,185,335,171,330,"38,490","38,885","30,995","38,619",Front Wheel Drive
DACIA,Spring Electric 45,25,109,19.1,125,165,152,180,"18,000","18,950","14,995","18,683",Front Wheel Drive
MINI,Countryman E,64.7,119,8.6,170,380,170,510,"43,500","43,490","42,080","52,431",Front Wheel Drive
LOTUS,Eletre,109,202,4.5,250,495,220,1040,"96,990","98,690","90,805","113,143",All Wheel Drive
FORD,Explorer Extended Range AWD,79,131,5.3,180,430,184,690,"53,500","53,950","53,975","67,252",All Wheel Drive
SUBARU,Solterra AWD,64,179,6.9,160,320,200,480,"57,490","56,395","49,995","62,293",All Wheel Drive
HYUNDAI,IONIQ 5 Standard Range 2WD,54,162,8.5,185,295,183,720,"43,900","49,295","43,445","54,132",Rear Wheel Drive
MG,MG4 Electric 77 kWh,74.4,101,6.5,180,425,175,430,"45,990","41,285","36,495","45,472",Rear Wheel Drive
